instname,total_enr,murder,manslaughter,forcible,nonforce,robbery,agg_aslt,burglary,vehicle,arson
American River College,95250,0,0,1,2,3,2,6,8,0
Arizona State University,289016,0,0,17,1,11,27,90,17,11
Ashford University,74596,0,0,2,0,0,0,1,0,0
Auburn University,25469,0,0,1,0,2,0,22,3,0
Austin Community College District,1082400,0,0,0,0,0,1,2,0,0
Ball State University,44294,0,0,8,0,1,0,31,0,0
Boston University,64878,0,0,6,0,2,3,60,2,0
Brigham Young University-Provo,170505,0,0,0,0,0,1,10,3,4
Broward College,379782,0,0,0,0,3,2,6,10,0
California State Polytechnic University-Pomona,21107,0,0,7,0,2,0,23,15,0
California State University-Fresno,21981,0,0,1,0,0,7,29,19,1
California State University-Fullerton,144624,0,0,0,0,1,7,6,14,0
California State University-Long Beach,34870,0,0,3,0,3,1,24,5,0
California State University-Los Angeles,21284,0,0,1,0,3,2,5,24,0
California State University-Northridge,36911,0,0,1,0,5,6,34,15,0
California State University-Sacramento,28016,0,0,2,0,3,0,12,4,5
Capella University,36375,0,0,0,0,0,0,0,0,0
Central Michigan University,28194,0,0,5,0,1,2,15,1,1
Central New Mexico Community College,166062,0,0,3,0,0,9,3,4,0
Central Texas College,80985,0,0,0,0,0,1,0,0,0
Cerritos College,21335,0,0,1,0,1,1,3,16,0
City College of San Francisco,34558,0,0,1,0,4,1,7,4,0
College of DuPage,157254,0,0,0,0,2,0,5,0,1
College of Southern Nevada,113151,0,0,2,0,2,0,1,3,0
Collin County Community College District,82779,0,0,0,0,0,0,4,0,0
Colorado State University-Fort Collins,30467,0,0,4,0,1,0,16,1,3
Columbia University in the City of New York,104200,0,0,4,0,1,4,25,0,1
Columbus State Community College,247368,0,0,0,0,0,0,1,0,0
Community College of Allegheny County,81720,0,0,0,0,1,0,2,1,0
Cornell University,21131,0,0,7,0,0,0,13,0,2
CUNY Borough of Manhattan Community College,24463,0,0,2,0,0,2,2,0,0
CUNY Hunter College,136932,0,0,0,0,2,0,7,0,1
CUNY Queens College,20993,0,0,0,0,0,0,16,0,0
