"location"," median_inc ","mean_hh","median_fam","mean_fam"," per_capita ","poverty_allfam","poverty_married","poverty_singlefemale","poverty_all","poverty_u18","total_unemp","unemp_rate"
"California",57287,80848,65476,89976,27859,12.4,7.5,27.7,16.6,22.8,2311055,7.8
"Alameda County",67558,91990,82476,106374,33888,9.6,4.9,25,13.1,16.8,83865,6.8
"Alameda city",66781,86860,75971,96659,36743,6.6,4.1,15.3,9.3,7.1,4493,7.2
"Berkeley city",61351,93550,101935,130461,38877,9.8,5.1,29.7,19.4,12.4,5648,5.5
"Fremont city",92655,111170,103457,121429,37261,4.2,2.5,16.6,6.4,7.5,8307,5
"Hayward city",56332,67268,64938,77922,22681,11.3,7.8,18.6,15.8,19.8,12616,10.9
"Livermore city",97047,115252,102080,123580,40814,5.2,4.7,11.9,6.9,9.4,3130,5
"Oakland city",50500,76693,57474,89040,31536,17.2,8.9,33,21,30.4,25672,8
"Pleasanton city",120437,137757,134583,151597,47723,5.3,1.2,22.8,6.3,8.3,3393,6.1
"San Leandro city",60703,72853,69765,82605,26879,8.8,4.2,23.4,11.1,16.5,5015,7.4
"Union City city",73004,86173,79593,93769,26701,6.3,2.9,15.2,7.5,10.2,2968,5.3
"Butte County",39179,54216,51896,62810,21951,15.5,8.9,34.8,23.1,28.3,15910,8.8
"Chico city",35990,50264,53996,64071,21419,14.9,6.8,36.3,24.2,17.3,6457,9.1
"Contra Costa County",74353,101050,88294,114512,36274,8.6,5.3,20.8,12,15,63783,7.6
"Antioch city",66289,73927,73908,78577,23569,10.1,8.2,17.7,15.8,16.8,10118,12.3
"Concord city",60391,79076,63597,84595,29115,12.8,7.6,32.9,15.3,23.8,8902,9.2
"Pittsburg city",54175,77575,59332,85455,24120,17.7,13.9,26.4,22.3,28.9,5015,9.9
"Richmond city",51652,65487,56254,68023,23354,16.4,8.3,36.1,20.4,31.7,6307,7.9
"San Ramon city",121756,152173,146416,158628,52295,3.7,2.8,13.6,4.7,3.6,3043,5.7
"Walnut Creek city",86613,120832,127670,147802,52497,3.4,3.1,6.6,4.7,5.8,2202,4
"El Dorado County",61084,83037,79452,98234,31855,6,5.4,12.5,10.5,14.4,13751,9.4
"Fresno County",42807,59820,46812,63597,19004,20.5,11.5,41,25.8,35.8,69254,9.9
"Clovis city",61870,72785,69253,81627,25867,7.9,6.4,15.4,9.6,10.9,6858,9.3
"Fresno city",40533,56226,42311,58560,18252,23.8,12.2,44.3,28.8,39.1,42596,11.5
"Humboldt County",41187,53547,50077,64582,22084,14.6,5.6,40.3,21.7,26.9,8096,7.3
"Imperial County",37843,55095,41341,58932,16238,23,14.9,43,26.8,33.5,11655,8.8
"Kern County",45224,60436,49703,64852,19048,20.2,11.8,44,24.5,35.3,56112,9
"Bakersfield city",51667,69129,59725,74795,22115,18.2,9.2,41.3,21.4,29,23009,9
"Kings County",50345,63094,51634,65398,18028,16.3,8.4,40.9,20.5,32.2,9895,8.5
"Lake County",35991,50990,44516,54931,21971,18.7,8.2,45.3,24.8,40.6,5229,9.8
"Los Angeles County",52280,77545,58251,85204,26349,14.6,9,28.5,18.3,25.8,612487,7.8
"Alhambra city",53233,69378,52432,72472,24929,11.2,9.9,13.5,13.5,11.4,3603,5.2
"Baldwin Park city",49664,57848,48944,57038,14136,16.6,9.4,36.6,17.4,26.4,6843,11.8
"Bellflower city",42209,51692,44795,54131,15840,15.3,10.9,23.6,19.2,29.1,5567,10
"Burbank city",64147,75389,76344,87957,29843,4.5,3.2,8.5,7.6,6.5,4869,5.8
"Carson city",71263,79698,77482,85836,22950,5.3,1.2,11.1,8.2,9.9,8703,11.7
"Compton city",39234,47005,40491,47533,12023,26.1,17.3,39.7,30.4,43.7,8062,11.6
"Downey city",53202,69722,56539,75298,21851,9.3,5.4,24,11.3,12.3,6796,7.9
"East Los Angeles CDP",34055,42813,36092,44619,11142,28.2,21.7,43.3,30.3,39.2,8330,8.5
"El Monte city",33829,49696,35889,52248,14342,23.8,18.8,38.4,26.6,42.1,9622,10.8
"Florence-Graham CDP",37477,44378,35751,42416,10777,33.8,31.7,47.5,31.7,41.8,2662,5.6
"Glendale city",47647,70247,51074,78067,27379,11.3,9,17.2,14.9,18,12389,7.6
"Hawthorne city",42723,52263,49731,56761,18473,19.1,13.2,30.1,21.8,27.7,4067,6.4
"Inglewood city",37999,54059,42040,60061,19390,20,15.7,22.4,25.9,38.4,6469,7.7
"Lakewood city",69610,79970,76880,86694,27463,4.8,3.3,10.2,10.1,12.7,5120,8
"Lancaster city",47198,60852,54882,68047,19154,16.5,8.5,40.1,21,27.7,9730,8.3
"Long Beach city",51214,71981,56371,80478,25945,17.1,8.8,33.4,21.2,28.3,31482,8.7
"Los Angeles city",46148,72787,50588,80947,26148,18.4,11.6,33.5,22.6,32.8,258847,8.4
"Lynwood city",41875,50791,41853,49465,11532,22.7,14.3,39.3,26.1,31.9,5127,10.2
"Norwalk city",54411,63838,54059,64300,17590,13.2,10.1,21.9,14.1,16.3,6512,8
"Palmdale city",50394,62093,50450,62566,17206,20.3,11.9,43.3,23.1,31,11097,10.1
"Pasadena city",72265,100850,91682,125883,41462,5.4,3.2,16.1,11.5,10,6923,6
"Pomona city",47229,60635,51798,62865,16861,17.5,12.3,31.4,22.2,32.1,9343,8.2
"Redondo Beach city",97547,115604,116590,134797,50884,1.8,1.1,3.6,2.8,1.5,3283,6
"Santa Clarita city",78738,94495,85045,102282,31643,5.1,3.4,12,7.6,7.9,11108,8.2
"Santa Monica city",66747,97381,108453,143192,52115,6,3.1,13.9,12,6.3,5457,6.8
"South Gate city",37385,47987,40819,49746,12938,18,9.1,42.3,18.3,25.1,7876,11.2
"Torrance city",73744,87383,86368,99967,33524,5.3,4.6,9,7.4,7.8,5843,5
"West Covina city",63895,76400,69345,82936,24161,8,4.1,18.3,9.4,15.9,8709,10.4
"Whittier city",69106,84306,75903,91438,27784,10.3,7.1,17.1,13.8,22.5,3533,5.3
"Madera County",46570,56089,49967,60385,15976,17.6,11.5,37.1,24.3,34.8,3902,3.4
"Marin County",77168,120431,100085,144363,49439,6,2.5,18.3,9.5,10.6,11224,5.4
"Mendocino County",42431,59603,51876,67204,22992,11.5,5.3,33.5,20.4,33.7,7273,10.3
"Merced County",40055,55692,43289,60709,16846,22.9,15.9,43.8,27.4,37.4,19977,10.6
"Merced city",38546,54426,46677,63127,17409,22.5,13.5,45.5,30,42.9,5574,9.5
"Monterey County",53179,74461,56777,80643,22724,13.2,7.6,31.6,17.4,24.5,24374,7.6
"Salinas city",44387,58477,43985,59494,16720,18.4,10.6,32.1,22,32.5,8784,8
"Napa County",61460,89125,67567,95754,32710,9.2,6.1,17.2,14.6,23.8,6821,6.2
"Napa city",55719,76523,59473,80642,28729,8.6,5.9,18.1,13.6,25.4,4198,6.9
"Nevada County",54080,73202,70686,85243,30984,9,6.3,23.7,12.4,16.5,5709,6.9
"Orange County",72293,96627,81663,107410,32540,9,5.8,20.4,12.9,17.7,153865,6.4
"Anaheim city",56858,71654,60161,75478,22049,12.8,8.8,26,16.1,24.6,20006,7.7
"Buena Park city",64754,74224,68975,78881,21508,8.8,4.2,17.4,11.9,15.7,2320,3.6
"Costa Mesa city",61136,80818,75310,92211,32540,11.7,5.6,24.7,16.6,26.5,6422,7.1
"Fullerton city",65648,89193,75579,101375,30167,13.7,8.7,25.1,20.5,31.8,7563,7.1
"Garden Grove city",55508,71701,56188,73298,20149,14.3,12.9,18.3,18.3,26.4,10505,7.7
"Huntington Beach city",75336,99820,86850,116068,40330,6.8,2.5,21.1,9.2,13.7,11862,7.4
"Irvine city",87484,108576,104954,127600,39027,5.4,3.5,13,12,8.5,8094,4.7
"Lake Forest city",100748,109691,109599,119712,37527,4.3,2.8,12.6,6.5,7.5,3163,5.2
"Mission Viejo city",89727,103598,103079,114705,35932,3.9,2.5,22.6,6.1,7.9,5027,6.5
"Newport Beach city",96918,146040,123171,187947,67564,7.6,2.8,23.6,9.4,7.3,4329,6.1
"Orange city",70523,92795,77292,99955,30462,10.7,6.6,19.3,13.8,19.3,6197,5.6
"Santa Ana city",51264,63057,51151,62406,15341,18.2,13.8,30,21.5,29,17112,7
